object,object_label
http://purl.obolibrary.org/obo/UBERON_0001873,'Left-Caudate' and 'Right-Caudate' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0001876,'Left-Amygdala' and 'Right-Amygdala' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0001882,'Left-Accumbens-area' and 'Right-Accumbens-area' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0001898,'Left-VentralDC' and 'Right-VentralDC' (from Desikan-Killiany Atlas)
http://purl.obolibrary.org/obo/UBERON_0002022,'lh-insula' and 'rh-insula' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0002129,'Left-Cerebellum-Cortex' and 'Right-Cerebellum-Cortex' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0002421,'Left-Hippocampus' and 'Right-Hippocampus' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0002576,'lh-temporalpole' and 'rh-temporalpole' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0002581,'lh-postcentral' and 'rh-postcentral' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0002624,'lh-parsorbitalis' and 'rh-parsobertalis' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0002629,'lh-parstriangularis' and 'rh-parstriangularis' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0002661,'lh-superiorfrontal' and 'rh-superiorfrontal' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0002688,'lh-supramarginal' and 'rh-supramarginal' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0002703,'lh-precentral' and 'rh-precentral' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0002728,'lh-entorhinal' and 'rh-entorhinal' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0002751,'lh-inferiortemporal' and 'rh-inferiortemporal' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0002766,'lh-fusiform' and 'rh-fusiform' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0002769,'lh-superiortemporal' and 'rh-superiortemporal' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0002771,'lh-middletemporal' and 'rh-middletemporal' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0002795,'lh-frontalpole' and 'rh-frontalpole' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0002943,'lh-lingual' and 'rh-lingual' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0002973,'lh-parahippocampal' and 'rh-parahippocampal' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0002980,'lh-parsopercularis' and 'rh-parsopercularis' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0006088,'lh-inferiorparietal' and 'rh-inferiorparietal' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0006092,'lh-cuneus' and 'rh-cuneus' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0006093,'lh-precuneus' and 'rh-precuneus' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0006094,'lh-superiorparietal' and 'rh-superiorparietal' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0006114,'lh-lateraloccipital' and 'rh-lateraloccipital' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0006445,'lh-caudalmiddlefrontal' and 'rh-caudalmiddlefrontal' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0006446,'lh-rostralmiddlefrontal' and 'rh-rostralmiddlefrontal' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0006514,'Left-Pallidum' and 'Right-Pallidum' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0008884,'Left-Putamen' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0008885,''Right-Putamen' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0009897,'rh-transversetemporal' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0009898,'lh-transversetemporal' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0013683,'Left-Thalamus-Proper' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0013684,'Right-Thalamus-Proper' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0022352,'lh-medialorbitofrontal' and 'rh-imedialorbitofrontal' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0022353,'lh-posteriorcingulate' and 'rh-posteriorcingulate' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0022438,'lh-rostralanteriorcingulate' and 'rh-rostralanteriorcingulate' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0022534,'lh-pericalcarine' and 'rh-pericalcarine' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0022716,'lh-lateralorbitofrontal' and 'rh-lateralorbitofrontal' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0027061,'lh-isthmuscingulate' and 'rh-isthmuscingulate' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0028622,bankssts
http://purl.obolibrary.org/obo/UBERON_0028715,'lh-caudalanteriorcingulate' and 'rh-caudalanteriorcingulate' (from Desikan-Killiany atlas)
http://purl.obolibrary.org/obo/UBERON_0035933,'lh-paracentral' and 'rh-paracentral' (from Desikan-Killiany atlas)
